index,f1,f2,f3,y
0,-195.87104519347042,-14843.084170736038,5.532140369257875,1.0
1,-1217.1839639671246,-4068.1246205114703,4.416081715372875,1.0
2,9.138450858339443,4413.41202819576,0.425316682936524,0.0
3,363.82424230279696,15474.760646511853,1.094119000277638,0.0
4,-768.8120465030403,-7963.932192360538,1.870536294670836,0.0
5,192.09346075505886,-12677.13968731533,3.4562287710251804,0.0
6,-118.04830310456038,-27479.657522204394,9.407844773776098,1.0
7,-38.98757369927439,3599.9573855149565,2.9995785329482088,0.0
8,-31.315887522676512,-15289.24164585576,3.8829813047557686,0.0
9,55.37949342803515,-9020.326833127816,7.759001651520919,1.0
10,355.5552956823103,-16420.510737760134,1.9681040950931286,0.0
11,-371.5625507430232,-2334.2185166124837,2.2316010822456867,0.0
12,-88.0264496164115,19231.356968716467,8.423246717488178,1.0
13,-397.2062990393041,-11850.400847167264,1.7280380517406568,0.0
14,111.02307651356493,13041.834443960159,0.148889876145889,0.0
15,469.4231847878492,5845.404919218174,5.192702956759164,0.0
16,-165.22246300246667,961.6613121322807,3.298668945215365,0.0
17,141.94680166499148,24131.360720061253,3.0850332408086727,0.0
18,-307.164094601781,11990.468796879572,8.65659961460217,1.0
19,-286.55981010025977,9984.332766212576,6.762725137394804,1.0
20,397.21904327723917,-5682.387578565826,9.177113437541397,1.0
21,258.81481845347764,5175.240725445544,0.597962813684888,0.0
22,-708.5364195644416,-4932.470888894589,0.6792705253166909,0.0
23,-709.2061393412113,-1109.5018731293683,4.141172009087325,0.0
24,-494.55600411083634,-7395.17624850464,8.419832987541811,1.0
25,-514.0953424330748,3488.044913775279,7.811599059312423,1.0
26,-39.35118162182778,3875.331483605842,3.8735975907685862,0.0
27,11.98651586892609,17922.743172963463,8.545046123369804,1.0
28,262.30374237649244,-921.6763436978052,4.8991411965380935,1.0
29,234.9559555653665,-1808.604506861468,6.001963005214007,1.0
30,-1056.318180476978,-14194.336400189994,6.874496310085112,1.0
31,179.71611811121016,-3341.7011037101715,5.530130274153301,0.0
32,1085.816272219458,4096.351778559221,4.757234211163472,1.0
33,-501.92535584209367,15675.674727443367,0.47456153032647497,0.0
34,-404.2321715682156,-29605.563846596106,2.861026869665767,0.0
35,722.0000187717498,-8178.076610482681,9.794996777074083,1.0
36,234.9027719157991,-3705.9777235329634,4.5946337911673565,1.0
37,-357.18371915821456,-9177.477130351272,3.1844409525453745,0.0
38,-33.44489098750633,-2074.676288199913,6.029927099470931,1.0
39,769.4063153810314,-5417.178749966898,1.9777336963612524,0.0
40,1130.6095733345699,3894.0608748676154,5.24908459802981,0.0
41,-39.22346857863916,16966.2584900868,1.836882765688277,0.0
42,-198.88023550253243,-10286.828082386492,7.867425088120594,1.0
43,246.02705698542962,-25036.137601350933,4.503939717954106,0.0
44,-927.1307415716847,-23808.2763431991,4.746716062854922,0.0
45,-64.51614249467242,4743.911273258517,9.567850455477501,1.0
46,-278.12944636964346,12052.313945714848,2.2605940675704432,0.0
47,-433.76212922900993,-10089.501404966559,6.016218468697284,1.0
48,-374.0390271453065,1089.5214266600722,3.393554026683754,0.0
49,-74.11387323728927,18812.08045796404,6.652151675131771,1.0
50,789.6002350237268,641.446910838102,4.324490495656306,1.0
51,-1662.5791102466656,-7003.0921201762285,8.906453709108286,1.0
52,129.38035027009187,4216.608226415732,8.0303597942281,1.0
53,-66.46898079601897,-4651.395176225358,3.1752069680987036,0.0
54,-680.008024153807,-488.1398866932956,6.061339689100596,1.0
55,79.70039909550269,11722.621787670154,3.4918263721783434,0.0
56,-548.015689951905,8011.587207868287,9.736702266179904,1.0
57,-337.1928608095004,12711.7979946279,2.048125367989773,0.0
58,122.80426763617236,-13739.13847015428,9.349688840648847,1.0
59,-112.35942508661114,16328.638519663975,1.1226388007741628,0.0
60,472.49416788363885,-2033.6938269493462,5.668077651741992,1.0
61,-647.5896232508578,2706.9780496502453,2.698961283579231,0.0
62,-650.5694516193478,-1672.9295828077954,1.7286572631104102,0.0
63,220.182688217344,6424.233104431877,8.32922171037357,1.0
64,618.5620152231743,7787.785394318919,6.274764184067385,1.0
65,276.4825231554482,5347.17819540576,4.227822513876876,0.0
66,-274.3866975856343,1573.6552889939069,3.791713289681316,0.0
67,171.13647726604609,7089.372971728237,6.109441931869205,1.0
68,-567.259244679823,-9776.777332533207,7.430451515143065,1.0
69,917.8306313437199,6774.344138813368,6.665061335562611,1.0
70,-204.92426118478485,8268.697393439334,1.1332840209706365,0.0
71,-186.36191399047007,3461.5302483932196,3.3518245393247,0.0
72,191.8605399713741,-8820.709843174765,8.795630685713618,1.0
73,-143.03568109029786,-10067.709453595242,7.663763391762849,1.0
74,-627.1862207388332,2826.0107492651914,4.896955590930942,1.0
75,-44.35312552219961,-11906.196020517755,1.5274502073770346,0.0
76,10.03386057892372,8769.319533006712,4.844489071981796,0.0
77,435.4709569598948,21500.28929799705,7.164599992585231,1.0
78,271.4208857985375,3103.2272421032017,1.8681513712972209,0.0
